61,12,130,1,100,1
62,11,130,1,33,4
63,10,130,1,67,2
64,9,130,1,100,3
65,8,130,0,67,4
66,7,130,1,33,2
67,6,130,0,100,1
68,5,130,1,67,3
69,4,130,1,33,2
70,3,130,1,67,1
71,2,130,0,100,4
72,1,130,0,33,3
73,1,130,0,33,4
74,2,130,1,100,2
75,3,130,0,67,0
76,4,130,1,33,3
77,5,130,1,67,1
78,6,130,1,100,2
79,7,130,1,33,3
80,8,130,0,67,0
81,9,130,0,100,4
82,10,130,1,67,3
83,11,130,1,33,2
84,12,130,0,100,1
85,12,130,0,100,4
86,11,130,0,33,3
87,10,130,0,67,0
88,9,130,1,100,1
89,8,130,0,67,3
90,7,130,0,33,1
91,6,130,0,100,4
92,5,130,1,67,2
93,4,130,0,33,1
94,3,130,1,67,3
95,2,130,0,100,0
96,1,130,1,33,2
97,1,130,1,33,1
98,2,130,1,100,3
99,3,130,1,67,2
100,4,130,0,33,4
101,5,130,0,67,0
102,6,130,0,100,0
103,7,130,1,33,4
104,8,130,1,67,2
105,9,130,1,100,2
106,10,130,0,67,4
107,11,130,1,33,1
108,12,130,0,100,3
109,12,130,1,100,2
110,11,130,0,33,0
111,10,130,0,67,1
112,9,130,0,100,0
113,8,130,1,67,1
114,7,130,0,33,0
115,6,130,1,100,3
116,5,130,0,67,4
117,4,130,0,33,0
118,3,130,0,67,4
119,2,130,0,100,1
120,1,130,0,33,0
61,12,137,1,100,1
62,11,137,1,33,4
63,10,137,1,67,2
64,9,137,1,100,3
65,8,137,0,67,4
66,7,137,1,33,2
67,6,137,0,100,1
68,5,137,1,67,3
69,4,137,1,33,2
70,3,137,1,67,1
71,2,137,0,100,4
72,1,137,0,33,3
73,1,137,0,33,4
74,2,137,1,100,2
75,3,137,0,67,0
76,4,137,1,33,3
77,5,137,1,67,1
78,6,137,1,100,2
79,7,137,1,33,3
80,8,137,0,67,0
81,9,137,0,100,4
82,10,137,1,67,3
83,11,137,1,33,2
84,12,137,0,100,1
85,12,137,0,100,4
86,11,137,0,33,3
87,10,137,0,67,0
88,9,137,1,100,1
89,8,137,0,67,3
90,7,137,0,33,1
91,6,137,0,100,4
92,5,137,1,67,2
93,4,137,0,33,1
94,3,137,1,67,3
95,2,137,0,100,0
96,1,137,1,33,2
97,1,137,1,33,1
98,2,137,1,100,3
99,3,137,1,67,2
100,4,137,0,33,4
101,5,137,0,67,0
102,6,137,0,100,0
103,7,137,1,33,4
104,8,137,1,67,2
105,9,137,1,100,2
106,10,137,0,67,4
107,11,137,1,33,1
108,12,137,0,100,3
109,12,137,1,100,2
110,11,137,0,33,0
111,10,137,0,67,1
112,9,137,0,100,0
113,8,137,1,67,1
114,7,137,0,33,0
115,6,137,1,100,3
116,5,137,0,67,4
117,4,137,0,33,0
118,3,137,0,67,4
119,2,137,0,100,1
120,1,137,0,33,0
61,12,159,0,100,1
62,11,159,0,33,4
63,10,159,1,67,2
64,9,159,1,100,3
65,8,159,0,67,4
66,7,159,1,33,2
67,6,159,1,100,1
68,5,159,0,67,3
69,4,159,0,33,2
70,3,159,1,67,1
71,2,159,0,100,4
72,1,159,0,33,3
73,1,159,1,33,4
74,2,159,1,100,2
75,3,159,0,67,0
76,4,159,0,33,3
77,5,159,1,67,1
78,6,159,0,100,2
79,7,159,1,33,3
80,8,159,1,67,0
81,9,159,1,100,4
82,10,159,1,67,3
83,11,159,0,33,2
84,12,159,0,100,1
85,12,159,1,100,4
86,11,159,1,33,3
87,10,159,0,67,0
88,9,159,1,100,1
89,8,159,0,67,3
90,7,159,0,33,1
91,6,159,0,100,4
92,5,159,1,67,2
93,4,159,0,33,1
94,3,159,0,67,3
95,2,159,0,100,0
96,1,159,0,33,2
97,1,159,0,33,1
98,2,159,0,100,3
99,3,159,1,67,2
100,4,159,1,33,4
101,5,159,0,67,0
102,6,159,0,100,0
103,7,159,0,33,4
104,8,159,1,67,2
105,9,159,0,100,2
106,10,159,1,67,4
107,11,159,0,33,1
108,12,159,1,100,3
109,12,159,1,100,2
110,11,159,0,33,0
111,10,159,0,67,1
112,9,159,0,100,0
113,8,159,0,67,1
114,7,159,0,33,0
115,6,159,0,100,3
116,5,159,1,67,4
117,4,159,0,33,0
118,3,159,0,67,4
119,2,159,0,100,1
120,1,159,0,33,0
