1,12,76,1,100,1
2,11,76,1,33,4
3,10,76,1,67,2
4,9,76,1,100,3
5,8,76,1,67,4
6,7,76,1,33,2
7,6,76,1,100,1
8,5,76,1,67,3
9,4,76,1,33,2
10,3,76,1,67,1
11,2,76,1,100,4
12,1,76,1,33,3
13,1,76,1,33,4
14,2,76,1,100,2
15,3,76,0,67,0
16,4,76,1,33,4
17,5,76,1,67,1
18,6,76,1,100,2
19,7,76,1,33,3
20,8,76,0,67,0
21,9,76,1,100,4
22,10,76,1,67,3
23,11,76,1,33,2
24,12,76,0,100,0
25,12,76,1,100,4
26,11,76,1,33,3
27,10,76,0,67,0
28,9,76,1,100,1
29,8,76,1,67,3
30,7,76,1,33,1
31,6,76,1,100,4
32,5,76,1,67,2
33,4,76,1,33,1
34,3,76,1,67,3
35,2,76,0,100,0
36,1,76,1,33,2
37,1,76,1,33,1
38,2,76,1,100,3
39,3,76,1,67,2
40,4,76,1,33,4
41,5,76,0,67,0
42,6,76,0,100,0
43,7,76,1,33,4
44,8,76,1,67,2
45,9,76,1,100,2
46,10,76,1,67,4
47,11,76,1,33,1
48,12,76,1,100,3
49,12,76,1,100,2
50,11,76,0,33,0
51,10,76,1,67,1
52,9,76,0,100,0
53,8,76,1,67,1
54,7,76,0,33,0
55,6,76,1,100,3
56,5,76,1,67,4
57,4,76,0,33,0
58,3,76,1,67,4
59,2,76,1,100,1
60,1,76,0,33,0
7,6,117,1,100,1
28,9,117,1,100,1
30,7,117,1,33,1
33,4,117,1,33,1
35,2,117,0,100,0
35,2,117,0,100,0
37,1,117,1,33,1
37,1,117,1,33,1
52,9,117,0,100,0
52,9,117,0,100,0
59,2,117,1,100,1
59,2,117,1,100,1
7,6,137,1,100,1
35,2,137,0,100,0
52,9,137,0,100,0
